,Owned with mortgage or loan (include home equity loans),,,,,,,,,,Owned Free And Clear,,,,,,,,,,Rented,,,,,,,,,,Occupied without payment of rent,,,,,,,,,
,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,
Selected Geographies,Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc."
"Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town PUMA, Massachusetts",,26,25,29,27,21,23,61,51,,,16,16,22,20,26,21,10,33,,,0,0,0,0,0,0,0,0,,,0,,0,0,0,,,,
"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, Massachusetts",,27,30,24,,,,23,28,,,15,26,3,78,,45,38,35,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,
"Norfolk County (Southwest)--Greater Franklin Town City PUMA, Massachusetts",101,23,40,32,41,21,29,,,,,20,24,7,25,14,,11,,,0,0,0,0,0,0,0,0,0,,,0,0,,0,,,0,,
"Norfolk County (Central)--Randolph, Norwood, Dedham, Canton & Holbrook Towns PUMA; Massachusetts",42,26,35,29,14,21,38,60,23,,,28,5,45,43,18,,14,,,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,,,
"Norfolk County (Northeast)--Quincy City & Milton Town PUMA, Massachusetts",,25,52,48,43,20,19,41,38,,,21,15,21,25,8,69,13,27,,,0,0,0,0,0,0,0,0,,,0,,0,,,,,,
"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA; Massachusetts",11,27,43,28,71,23,22,29,29,,101,19,43,48,56,6,36,4,32,,,0,0,0,0,0,0,0,0,,,0,,0,,,,,0,
"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA; Massachusetts",,31,35,47,44,17,30,,42,,,18,28,16,6,,90,16,,,,0,0,0,0,0,0,0,0,,,0,,0,,,,,,
"Attleboro City, North Attleborough, Swansea, Seekonk, Rehoboth & Plainville Towns PUMA; Massachusetts",83,27,23,46,25,19,,25,18,,22,18,14,42,23,,86,,,,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,,
"Bristol (Outside New Bedford City) & Plymouth (South) Counties PUMA, Massachusetts",15,25,24,21,,,,,,,22,22,,21,,,,,,,0,0,0,0,0,0,0,0,0,,,0,,,,,0,,,
"Bristol County (Central)--Fall River City & Somerset Town PUMA, Massachusetts",,26,43,31,33,,33,9,,,,21,,7,26,13,24,,19,,,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,
"Bristol County--Taunton City, Mansfield, Norton, Raynam, Dighton & Berkley Towns PUMA; Massachusetts",15,28,29,27,27,22,,,20,,19,15,11,12,8,27,,11,51,,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,
"Bristol County (South)--New Bedford City & Fairhaven Town PUMA, Massachusetts",,35,24,34,37,,71,,,,,19,,15,23,48,43,62,26,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,,,
"Barnstable County (West)--Inner Cape Cod Towns & Barnstable Town City PUMA, Massachusetts",24,31,41,17,21,23,40,33,,,14,17,25,11,34,12,,57,12,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,
"Barnstable (East), Dukes & Nantucket Counties--Outer Cape Cod Towns PUMA; Massachusetts",101,32,31,54,19,65,41,26,35,,52,20,20,13,35,101,,25,18,,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,,,
"Plymouth & Bristol Counties (Outside Brockton City) PUMA, Massachusetts",101,28,23,23,26,38,27,,,,55,17,24,12,,,11,45,,26,0,0,0,0,0,0,0,0,0,,,0,,,0,,,,,
"Plymouth County (Central) PUMA, Massachusetts",36,26,23,27,18,39,,,,,45,21,45,16,2,15,,14,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,
"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA; Massachusetts",,29,38,26,90,25,57,22,18,,37,19,41,28,77,36,13,,49,,,0,0,0,0,0,0,0,0,,,0,,,,,,,,
