,Owned with mortgage or loan (include home equity loans),,,,,,,,,,Owned Free And Clear,,,,,,,,,,Rented,,,,,,,,,,Occupied without payment of rent,,,,,,,,,
,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,
Selected Geographies,Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc."
"Middlesex (West Central) & Worcester (East) Counties PUMA, Massachusetts",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,36,50,42,44,44,38,52,34,,,0,,,,,,,0,
"Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA, Massachusetts",0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,,,26,26,39,31,34,28,34,73,,0,0,,0,0,,,,,
"Hampden County (Central)--Springfield City PUMA, Massachusetts",0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,,0,,,47,36,47,47,46,66,40,40,12,,0,0,0,0,,,,0,
"Hampden County (West of Springfield City)--Westfield & Holyoke Cities PUMA, Massachusetts",0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,,0,0,101,30,25,32,37,38,36,50,34,,,0,,0,0,0,,,0,
"Hampden County (East of Springfield City)--Chicopee City PUMA, Massachusetts",0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,,,,29,56,32,27,68,35,44,26,,,0,0,0,,,,,,
"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA; Massachusetts",,0,0,0,0,0,,,0,,,0,0,0,0,,,0,,,,36,83,36,53,56,38,47,37,,,0,0,,,,,,,
"Woburn, Melrose Cities, Saugus, Wakefield & Stoneham Towns PUMA; Massachusetts",,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,32,30,39,34,53,44,46,44,,,0,,,,0,0,,0,
"Boston City--Allston, Brighton & Fenway PUMA; Massachusetts",,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,,44,49,32,36,39,48,56,45,,,0,,0,0,,0,,0,
"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA; Massachusetts",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,13,31,36,36,32,40,39,36,,,0,0,0,0,0,,,0,
"Boston City--Dorchester & South Boston PUMA, Massachusetts",,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,30,34,36,36,34,44,49,44,,,0,0,0,0,,,,,
"Boston City--Mattapan & Roxbury PUMA, Massachusetts",,0,0,0,0,0,0,,0,,,0,0,0,0,0,,,0,,,38,32,34,44,38,52,45,37,,,0,,,0,,,0,0,
"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA; Massachusetts",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,37,38,33,37,35,46,37,53,,,0,0,0,0,,,,0,
"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA; Massachusetts",,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,,,53,56,51,44,44,61,30,35,,,,,0,,,0,,0,
"Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town PUMA, Massachusetts",,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,42,31,35,30,31,33,34,39,,,0,,0,0,0,,,,
"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, Massachusetts",,0,0,0,,,,0,0,,,0,0,0,0,,0,0,0,,,32,13,54,41,40,60,47,54,,,0,0,,,,,,0,
"Norfolk County (Southwest)--Greater Franklin Town City PUMA, Massachusetts",0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,101,58,14,35,26,38,51,23,44,,,0,0,,0,,,0,,
"Norfolk County (Central)--Randolph, Norwood, Dedham, Canton & Holbrook Towns PUMA; Massachusetts",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,24,45,43,31,59,31,27,45,48,,,0,0,,,,0,,,
"Norfolk County (Northeast)--Quincy City & Milton Town PUMA, Massachusetts",,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,54,26,32,39,45,32,37,41,,,0,,0,,,,,,
"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA; Massachusetts",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,25,37,25,32,40,27,58,62,,,0,,0,,,,,0,
"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA; Massachusetts",,0,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,,,32,45,35,52,45,37,52,42,,,0,,0,,,,,,
"Attleboro City, North Attleborough, Swansea, Seekonk, Rehoboth & Plainville Towns PUMA; Massachusetts",0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,,,,24,28,31,41,52,42,31,51,30,,,0,,,0,0,,,,
"Bristol (Outside New Bedford City) & Plymouth (South) Counties PUMA, Massachusetts",0,0,0,0,,,,,,,0,0,,0,,,,,,,29,51,62,43,29,43,58,31,23,,,0,,,,,0,,,
"Bristol County (Central)--Fall River City & Somerset Town PUMA, Massachusetts",,0,0,0,0,,0,0,,,,0,,0,0,0,0,,0,,,47,28,37,38,36,46,39,32,,0,0,,,0,,,,,
"Bristol County--Taunton City, Mansfield, Norton, Raynam, Dighton & Berkley Towns PUMA; Massachusetts",0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,,35,35,46,51,40,32,44,22,31,,0,0,,,,,,,,
"Bristol County (South)--New Bedford City & Fairhaven Town PUMA, Massachusetts",,0,0,0,0,,0,,,,,0,,0,0,0,0,0,0,,16,42,46,35,35,54,44,33,42,,,0,,0,0,0,,,,
"Barnstable County (West)--Inner Cape Cod Towns & Barnstable Town City PUMA, Massachusetts",0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,,,30,62,35,38,51,42,57,47,,,0,0,,,,,,,
"Barnstable (East), Dukes & Nantucket Counties--Outer Cape Cod Towns PUMA; Massachusetts",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,101,37,44,49,43,21,24,43,55,,,0,0,0,,0,,,,
"Plymouth & Bristol Counties (Outside Brockton City) PUMA, Massachusetts",0,0,0,0,0,0,0,,,,0,0,0,0,,,0,0,,0,83,30,29,27,35,55,40,52,39,,,0,,,0,,,,,
"Plymouth County (Central) PUMA, Massachusetts",0,0,0,0,0,0,,,,,0,0,0,0,0,0,,0,,,,31,35,45,57,39,27,40,35,,0,0,0,,,,,,,
"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA; Massachusetts",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,27,37,23,53,41,38,57,64,,,0,,,,,,,,
