,N/A (GQ),,,,Mobile Home or Trailer,,,,One-family house detached,,,,One-family house attached,,,,2 Apartments,,,,3-4 Apartments,,,,5-9 Apartments,,,,10-19 Apartments,,,,20-49 Apartments,,,,50 or More Apartments,,,,"Boat, RV, van, etc.",,,
,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,
Selected Geographies,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent
"Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA, Massachusetts",0,0,0,0,429,487,0,385,23725,14197,1076,451,1758,775,724,0,1462,659,3388,242,97,524,3705,135,125,260,1572,0,220,0,963,0,0,112,1056,0,86,111,2057,0,0,0,0,0
"Hampden County (Central)--Springfield City PUMA, Massachusetts",0,0,0,0,56,349,0,0,17823,6581,2791,440,504,324,1459,54,1704,673,7409,236,169,88,4258,364,234,304,4039,0,0,33,774,0,0,0,2271,0,35,169,4498,138,0,0,29,0
"Hampden County (West of Springfield City)--Westfield & Holyoke Cities PUMA, Massachusetts",0,0,0,0,78,890,61,0,18248,10049,2761,673,1319,422,1484,0,1300,706,2926,60,862,348,2792,421,314,115,3841,88,0,0,2527,0,228,0,3352,0,241,87,2713,87,0,124,0,0
"Hampden County (East of Springfield City)--Chicopee City PUMA, Massachusetts",0,0,0,0,369,296,0,0,21827,10979,1212,548,1409,741,913,139,623,326,3821,166,478,173,2314,0,113,174,1417,0,55,105,1015,0,0,0,1216,0,95,0,1996,0,0,0,0,0
"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA; Massachusetts",0,0,0,0,0,0,0,0,21465,9260,1484,248,1879,1208,428,230,487,418,1664,0,476,513,603,0,398,0,794,0,0,0,1264,0,0,237,873,0,637,0,466,0,0,0,0,0
"Woburn, Melrose Cities, Saugus, Wakefield & Stoneham Towns PUMA; Massachusetts",0,0,0,0,0,0,0,0,24490,9347,2164,671,1259,1143,844,0,851,784,2985,0,206,174,2282,0,757,187,2350,159,383,158,1671,226,847,405,2682,0,1162,0,3554,465,0,0,0,0
"Boston City--Allston, Brighton & Fenway PUMA; Massachusetts",0,0,0,0,0,0,0,0,460,922,998,47,365,0,778,0,592,550,2844,290,192,95,3665,127,347,350,3398,0,231,385,5708,68,731,471,8364,0,291,95,8160,196,0,0,0,0
"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA; Massachusetts",0,0,0,0,50,0,0,0,1979,475,304,134,1279,685,1897,145,1137,547,3332,88,4215,1191,10465,183,2576,1461,8989,32,1584,385,4427,0,842,523,3765,0,3037,1650,18097,82,0,0,0,0
"Boston City--Dorchester & South Boston PUMA, Massachusetts",0,0,0,0,0,0,0,0,3176,2607,456,35,1350,479,1599,281,2798,346,4542,63,5227,925,12045,116,1049,108,2702,0,844,69,825,0,787,409,1471,0,763,180,5353,0,0,0,0,0
"Boston City--Mattapan & Roxbury PUMA, Massachusetts",0,0,0,0,0,0,0,0,2295,1129,1250,246,1193,379,4372,0,2317,604,3980,0,2801,332,13195,260,449,58,5534,0,48,0,4019,0,0,0,2426,70,108,63,4176,153,0,0,0,0
